Tenant_id,source_system,client_batch_ref,client_payout_ref,invoice_id,voucher_id,ledger_name,vendor_id,vendor_name,beneficiary_name,beneficiary_account_number,beneficiary_ifsc,beneficiary_vpa,amount,currency,payment_method,rail_hint,payout_purpose,scheduled_execution_at,expected_value_date,bank_account_ref,approval_ref,idempotency_key,remarks,pan_number,mcc_code
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0001,INV-11574,VOUCH-11574,Operating_Ledger,VEND-6574,Sanjay Mehra,Sanjay Mehra,7.79934E+11,HDFC0518998,,1606.48,INR,BANK_TRANSFER,IMPS,salary,2026-05-07 14:00:00,2026-05-07,leak_batch_004-0001-bank,leak_batch_004-0001-approval,leak_batch_004-0001-idemp,Generated leakage training batch LEAK_BATCH_004,RNYPB8279M,7387
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0002,INV-11241,VOUCH-11241,Operating_Ledger,VEND-6241,Deepak Gupta,Deepak Gupta,73279042910,AXIS0955705,,747.164,INR,BANK_TRANSFER,IMPS,payout,2026-05-07 15:30:00,2026-05-07,leak_batch_004-0002-bank,leak_batch_004-0002-approval,leak_batch_004-0002-idemp,Generated leakage training batch LEAK_BATCH_004,XDATQ4724B,9245
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0003,INV-10250,VOUCH-10250,Operating_Ledger,VEND-5250,Sanjay Gupta,Sanjay Gupta,5.86864E+11,KKBK0187724,,2897.867,INR,BANK_TRANSFER,IMPS,salary,2026-05-07 16:00:00,2026-05-07,leak_batch_004-0003-bank,leak_batch_004-0003-approval,leak_batch_004-0003-idemp,Generated leakage training batch LEAK_BATCH_004,GHYII7913Y,9325
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0004,INV-11081,VOUCH-11081,Operating_Ledger,VEND-6081,Neha Gupta,Neha Gupta,,,neha.gupta67@okaxis,1036.135,INR,UPI,UPI,salary,2026-05-07 15:10:00,2026-05-07,leak_batch_004-0004-bank,leak_batch_004-0004-approval,leak_batch_004-0004-idemp,Generated leakage training batch LEAK_BATCH_004,WKBYD1896T,9450
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0005,INV-11553,VOUCH-11553,Operating_Ledger,VEND-6553,Anjali Patel,Anjali Patel,2.64735E+11,HDFC0667582,,1928.894,INR,BANK_TRANSFER,IMPS,salary,2026-05-07 16:40:00,2026-05-07,leak_batch_004-0005-bank,leak_batch_004-0005-approval,leak_batch_004-0005-idemp,Generated leakage training batch LEAK_BATCH_004,DJQHJ6278F,2459
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0006,INV-11057,VOUCH-11057,Operating_Ledger,VEND-6057,Rohan Sharma,Rohan Sharma,6.22652E+11,AXIS0596335,,4390.575,INR,BANK_TRANSFER,IMPS,cashback,2026-05-07 18:50:00,2026-05-07,leak_batch_004-0006-bank,leak_batch_004-0006-approval,leak_batch_004-0006-idemp,Generated leakage training batch LEAK_BATCH_004,ENYKM2612C,5460
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0007,INV-10291,VOUCH-10291,Operating_Ledger,VEND-5291,Priya Patel,Priya Patel,5.64399E+11,AXIS0161811,,1292.922,INR,BANK_TRANSFER,IMPS,cashback,2026-05-07 12:20:00,2026-05-07,leak_batch_004-0007-bank,leak_batch_004-0007-approval,leak_batch_004-0007-idemp,Generated leakage training batch LEAK_BATCH_004,PHWUL8837L,8783
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0008,INV-11731,VOUCH-11731,Operating_Ledger,VEND-6731,Deepak Kumar,Deepak Kumar,,,deepak.kumar17@okaxis,1209.928,INR,UPI,UPI,refund,2026-05-07 17:30:00,2026-05-07,leak_batch_004-0008-bank,leak_batch_004-0008-approval,leak_batch_004-0008-idemp,Generated leakage training batch LEAK_BATCH_004,JXIBY0971S,7554
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0009,INV-11683,VOUCH-11683,Operating_Ledger,VEND-6683,Rohan Singh,Rohan Singh,,,rohan.singh79@okaxis,2793.569,INR,UPI,UPI,salary,2026-05-07 10:50:00,2026-05-07,leak_batch_004-0009-bank,leak_batch_004-0009-approval,leak_batch_004-0009-idemp,Generated leakage training batch LEAK_BATCH_004,HOMKU3405G,564
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0010,INV-11873,VOUCH-11873,Operating_Ledger,VEND-6873,Vikram Kumar,Vikram Kumar,8.86714E+11,SBIN0533979,,958.044,INR,BANK_TRANSFER,IMPS,cashback,2026-05-07 09:30:00,2026-05-07,leak_batch_004-0010-bank,leak_batch_004-0010-approval,leak_batch_004-0010-idemp,Generated leakage training batch LEAK_BATCH_004,RRWIZ1472A,5473
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0011,INV-11828,VOUCH-11828,Operating_Ledger,VEND-6828,Rohan Joshi,Rohan Joshi,2.49673E+11,KKBK0936514,,4297.126,INR,BANK_TRANSFER,IMPS,salary,2026-05-07 10:30:00,2026-05-07,leak_batch_004-0011-bank,leak_batch_004-0011-approval,leak_batch_004-0011-idemp,Generated leakage training batch LEAK_BATCH_004,IGHWU8932V,3930
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0012,INV-11832,VOUCH-11832,Operating_Ledger,VEND-6832,Rahul Mehra,Rahul Mehra,,,rahul.mehra29@okaxis,3471.914,INR,UPI,UPI,cashback,2026-05-07 10:50:00,2026-05-07,leak_batch_004-0012-bank,leak_batch_004-0012-approval,leak_batch_004-0012-idemp,Generated leakage training batch LEAK_BATCH_004,FOBBQ9284T,7133
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0013,INV-11763,VOUCH-11763,Operating_Ledger,VEND-6763,Sneha Kumar,Sneha Kumar,2.80012E+11,BARB0611941,,4071.977,INR,BANK_TRANSFER,IMPS,salary,2026-05-07 16:40:00,2026-05-07,leak_batch_004-0013-bank,leak_batch_004-0013-approval,leak_batch_004-0013-idemp,Generated leakage training batch LEAK_BATCH_004,YHBTC6934T,6783
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0014,INV-11560,VOUCH-11560,Operating_Ledger,VEND-6560,Rahul Mehra,Rahul Mehra,,,rahul.mehra28@okaxis,1944.571,INR,UPI,UPI,salary,2026-05-07 09:20:00,2026-05-07,leak_batch_004-0014-bank,leak_batch_004-0014-approval,leak_batch_004-0014-idemp,Generated leakage training batch LEAK_BATCH_004,ZXTNF2589V,4597
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0015,INV-10785,VOUCH-10785,Operating_Ledger,VEND-5785,Sneha Reddy,Sneha Reddy,8.47578E+11,HDFC0402012,,3542.463,INR,BANK_TRANSFER,IMPS,cashback,2026-05-07 18:00:00,2026-05-07,leak_batch_004-0015-bank,leak_batch_004-0015-approval,leak_batch_004-0015-idemp,Generated leakage training batch LEAK_BATCH_004,AOMNL2893B,1260
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0016,INV-11648,VOUCH-11648,Operating_Ledger,VEND-6648,Anjali Gupta,Anjali Gupta,3.02322E+11,BARB0944128,,3084.507,INR,BANK_TRANSFER,IMPS,refund,2026-05-07 08:20:00,2026-05-07,leak_batch_004-0016-bank,leak_batch_004-0016-approval,leak_batch_004-0016-idemp,Generated leakage training batch LEAK_BATCH_004,CILXD1592P,8582
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0017,INV-10043,VOUCH-10043,Operating_Ledger,VEND-5043,Sanjay Mehra,Sanjay Mehra,,,sanjay.mehra43@okaxis,4540.428,INR,UPI,UPI,refund,2026-05-07 12:20:00,2026-05-07,leak_batch_004-0017-bank,leak_batch_004-0017-approval,leak_batch_004-0017-idemp,Generated leakage training batch LEAK_BATCH_004,IZXEE0572L,2777
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0018,INV-11383,VOUCH-11383,Operating_Ledger,VEND-6383,Vikram Kumar,Vikram Kumar,8.33485E+11,ICIC0778103,,1009.475,INR,BANK_TRANSFER,IMPS,cashback,2026-05-07 10:50:00,2026-05-07,leak_batch_004-0018-bank,leak_batch_004-0018-approval,leak_batch_004-0018-idemp,Generated leakage training batch LEAK_BATCH_004,FHMOR3656B,2185
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0019,INV-11788,VOUCH-11788,Operating_Ledger,VEND-6788,Deepak Sharma,Deepak Sharma,8.6957E+11,KKBK0409772,,4792.41,INR,BANK_TRANSFER,IMPS,salary,2026-05-07 15:00:00,2026-05-07,leak_batch_004-0019-bank,leak_batch_004-0019-approval,leak_batch_004-0019-idemp,Generated leakage training batch LEAK_BATCH_004,PCGPK0908P,8708
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0020,INV-10568,VOUCH-10568,Operating_Ledger,VEND-5568,Sanjay Joshi,Sanjay Joshi,,,sanjay.joshi71@okaxis,535.648,INR,UPI,UPI,payout,2026-05-07 17:00:00,2026-05-07,leak_batch_004-0020-bank,leak_batch_004-0020-approval,leak_batch_004-0020-idemp,Generated leakage training batch LEAK_BATCH_004,GCIJR5466S,1014
TENANT_001,Razorpay,LEAK_BATCH_004,LEAK_BATCH_004_PAY_0021,INV-10309,VOUCH-10309,Operating_Ledger,VEND-5309,Sneha Sharma,Sneha Sharma,2.89653E+11,SBIN0976836,,897.232,INR,BANK_TRANSFER,IMPS,salary,2026-05-07 16:20:00,2026-05-07,leak_batch_004-0021-bank,leak_batch_004-0021-approval,leak_batch_004-0021-idemp,Generated leakage training batch LEAK_BATCH_004,LOQBA0657W,2916
