Tenant_id,source_system,client_batch_ref,client_payout_ref,invoice_id,voucher_id,ledger_name,vendor_id,vendor_name,beneficiary_name,beneficiary_account_number,beneficiary_ifsc,beneficiary_vpa,amount,currency,payment_method,rail_hint,payout_purpose,scheduled_execution_at,expected_value_date,bank_account_ref,approval_ref,idempotency_key,remarks,pan_number,mcc_code
TENANT_001,Razorpay,LEAK_BATCH_003__618808ce,LEAK_BATCH_003_PAY_0001,INV-10890,VOUCH-10890,Operating_Ledger,VEND-5890,Amit Patel,Amit Patel,,,amit.patel82@okaxis,1855.674,INR,UPI,UPI,refund,2026-06-17 11:30:00,2026-06-17,leak_batch_003-0001-bank,leak_batch_003-0001-approval,leak_batch_003-0001-idemp,Generated leakage training batch LEAK_BATCH_003,WVTOS9849O,4358
TENANT_001,Razorpay,LEAK_BATCH_003__618808ce,LEAK_BATCH_003_PAY_0002,INV-10715,VOUCH-10715,Operating_Ledger,VEND-5715,Deepak Joshi,Deepak Joshi,,,deepak.joshi68@okaxis,949.987,INR,UPI,UPI,cashback,2026-06-17 12:30:00,2026-06-17,leak_batch_003-0002-bank,leak_batch_003-0002-approval,leak_batch_003-0002-idemp,Generated leakage training batch LEAK_BATCH_003,GOBLD8458L,7637
TENANT_001,Razorpay,LEAK_BATCH_003__618808ce,LEAK_BATCH_003_PAY_0003,INV-10585,VOUCH-10585,Operating_Ledger,VEND-5585,Rahul Reddy,Rahul Reddy,5.60649E+11,ICIC0180020,,3758.985,INR,BANK_TRANSFER,IMPS,cashback,2026-06-17 12:20:00,2026-06-17,leak_batch_003-0003-bank,leak_batch_003-0003-approval,leak_batch_003-0003-idemp,Generated leakage training batch LEAK_BATCH_003,ZVSKH6077S,2360
TENANT_001,Razorpay,LEAK_BATCH_003__618808ce,LEAK_BATCH_003_PAY_0004,INV-11267,VOUCH-11267,Operating_Ledger,VEND-6267,Anjali Joshi,Anjali Joshi,,,anjali.joshi97@okaxis,3825.948,INR,UPI,UPI,payout,2026-06-17 10:50:00,2026-06-17,leak_batch_003-0004-bank,leak_batch_003-0004-approval,leak_batch_003-0004-idemp,Generated leakage training batch LEAK_BATCH_003,BXZLE2422K,3655
TENANT_001,Razorpay,LEAK_BATCH_003__618808ce,LEAK_BATCH_003_PAY_0005,INV-11721,VOUCH-11721,Operating_Ledger,VEND-6721,Amit Singh,Amit Singh,,,amit.singh99@okaxis,2946.22,INR,UPI,UPI,refund,2026-06-17 13:40:00,2026-06-17,leak_batch_003-0005-bank,leak_batch_003-0005-approval,leak_batch_003-0005-idemp,Generated leakage training batch LEAK_BATCH_003,KCRFB9785A,6354
TENANT_001,Razorpay,LEAK_BATCH_003__618808ce,LEAK_BATCH_003_PAY_0006,INV-11251,VOUCH-11251,Operating_Ledger,VEND-6251,Neha Singh,Neha Singh,7.09016E+11,SBIN0505913,,1682.266,INR,BANK_TRANSFER,IMPS,refund,2026-06-17 12:10:00,2026-06-17,leak_batch_003-0006-bank,leak_batch_003-0006-approval,leak_batch_003-0006-idemp,Generated leakage training batch LEAK_BATCH_003,UVGZQ7781Z,7442
TENANT_001,Razorpay,LEAK_BATCH_003__618808ce,LEAK_BATCH_003_PAY_0007,INV-10930,VOUCH-10930,Operating_Ledger,VEND-5930,Anjali Verma,Anjali Verma,,,anjali.verma54@okaxis,956.321,INR,UPI,UPI,salary,2026-06-17 08:10:00,2026-06-17,leak_batch_003-0007-bank,leak_batch_003-0007-approval,leak_batch_003-0007-idemp,Generated leakage training batch LEAK_BATCH_003,CXCVU4604N,5839
TENANT_001,Razorpay,LEAK_BATCH_003__618808ce,LEAK_BATCH_003_PAY_0008,INV-10235,VOUCH-10235,Operating_Ledger,VEND-5235,Rohan Singh,Rohan Singh,1.4098E+11,HDFC0961083,,2315.695,INR,BANK_TRANSFER,IMPS,refund,2026-06-17 16:30:00,2026-06-17,leak_batch_003-0008-bank,leak_batch_003-0008-approval,leak_batch_003-0008-idemp,Generated leakage training batch LEAK_BATCH_003,RXDWL2851U,8553
TENANT_001,Razorpay,LEAK_BATCH_003__618808ce,LEAK_BATCH_003_PAY_0009,INV-11921,VOUCH-11921,Operating_Ledger,VEND-6921,Neha Singh,Neha Singh,7.84423E+11,SBIN0825051,,3535.151,INR,BANK_TRANSFER,IMPS,salary,2026-06-17 10:30:00,2026-06-17,leak_batch_003-0009-bank,leak_batch_003-0009-approval,leak_batch_003-0009-idemp,Generated leakage training batch LEAK_BATCH_003,YRBJB4007J,9656
TENANT_001,Razorpay,LEAK_BATCH_003__618808ce,LEAK_BATCH_003_PAY_0010,INV-11554,VOUCH-11554,Operating_Ledger,VEND-6554,Priya Joshi,Priya Joshi,,,priya.joshi95@okaxis,782.912,INR,UPI,UPI,refund,2026-06-17 15:50:00,2026-06-17,leak_batch_003-0010-bank,leak_batch_003-0010-approval,leak_batch_003-0010-idemp,Generated leakage training batch LEAK_BATCH_003,PDALU7310C,4788
